X_axis;Y_axis;R;G;B;Camera;Photo_number;Color
1358;800;125;88;17;Canon G7X Mark ii;legocolor103.png;Bright Light Yellow
1427;934;129;77;113;Canon G7X Mark ii;legocolor103.png;Bright Pink
1455;963;139;96;126;Canon G7X Mark ii;legocolor103.png;Bright Pink
877;496;127;126;122;Canon G7X Mark ii;legocolor103.png;White
875;584;159;156;149;Canon G7X Mark ii;legocolor103.png;White
804;630;101;120;65;Canon G7X Mark ii;legocolor103.png;Yellowish Green
842;632;106;125;69;Canon G7X Mark ii;legocolor103.png;Yellowish Green
654;626;123;107;82;Canon G7X Mark ii;legocolor103.png;Tan
706;621;130;114;88;Canon G7X Mark ii;legocolor103.png;Tan
539;651;122;31;38;Canon G7X Mark ii;legocolor103.png;Red
587;652;72;8;8;Canon G7X Mark ii;legocolor103.png;Red
635;777;31;31;33;Canon G7X Mark ii;legocolor103.png;Dark Bluish Grey
680;783;25;26;28;Canon G7X Mark ii;legocolor103.png;Dark Bluish Grey
757;764;12;12;12;Canon G7X Mark ii;legocolor103.png;Black
754;888;7;7;7;Canon G7X Mark ii;legocolor103.png;Black
906;863;74;78;81;Canon G7X Mark ii;legocolor103.png;Light Bluish Grey
967;866;66;71;75;Canon G7X Mark ii;legocolor103.png;Light Bluish Grey
336;273;159;49;12;Canon G7X Mark ii;legocolor104.png;Orange
505;309;149;48;18;Canon G7X Mark ii;legocolor104.png;Orange
573;275;23;131;167;Canon G7X Mark ii;legocolor104.png;Medium Azure
746;286;30;144;181;Canon G7X Mark ii;legocolor104.png;Medium Azure
812;335;16;109;166;Canon G7X Mark ii;legocolor104.png;Dark Azure
843;335;15;110;168;Canon G7X Mark ii;legocolor104.png;Dark Azure
898;280;114;176;199;Canon G7X Mark ii;legocolor104.png;Aqua
925;280;117;177;201;Canon G7X Mark ii;legocolor104.png;Aqua
972;187;155;129;55;Canon G7X Mark ii;legocolor104.png;Yellow
1014;188;166;137;59;Canon G7X Mark ii;legocolor104.png;Yellow
1057;259;165;159;111;Canon G7X Mark ii;legocolor104.png;Bright Light Yellow
1088;259;168;164;117;Canon G7X Mark ii;legocolor104.png;Bright Light Yellow
1174;151;159;128;185;Canon G7X Mark ii;legocolor104.png;Bright Pink
1200;150;154;123;182;Canon G7X Mark ii;legocolor104.png;Bright Pink
309;499;152;169;189;Canon G7X Mark ii;legocolor104.png;White
497;503;152;167;186;Canon G7X Mark ii;legocolor104.png;White
557;579;121;171;122;Canon G7X Mark ii;legocolor104.png;Yellowish Green
590;583;120;170;117;Canon G7X Mark ii;legocolor104.png;Yellowish Green
662;719;126;122;111;Canon G7X Mark ii;legocolor104.png;Tan
695;719;129;125;114;Canon G7X Mark ii;legocolor104.png;Tan
773;798;117;26;41;Canon G7X Mark ii;legocolor104.png;Red
814;804;124;25;43;Canon G7X Mark ii;legocolor104.png;Red
888;726;32;47;66;Canon G7X Mark ii;legocolor104.png;Dark Bluish Grey
976;726;41;58;76;Canon G7X Mark ii;legocolor104.png;Dark Bluish Grey
1062;617;15;16;20;Canon G7X Mark ii;legocolor104.png;Black
1145;621;8;12;15;Canon G7X Mark ii;legocolor104.png;Black
1092;467;66;87;106;Canon G7X Mark ii;legocolor104.png;Light Bluish Grey
1235;475;83;105;129;Canon G7X Mark ii;legocolor104.png;Light Bluish Grey
211;290;174;66;4;Canon G7X Mark ii;legocolor105.png;Orange
386;330;187;80;8;Canon G7X Mark ii;legocolor105.png;Orange
502;310;45;131;164;Canon G7X Mark ii;legocolor105.png;Medium Azure
714;303;44;138;172;Canon G7X Mark ii;legocolor105.png;Medium Azure
806;281;25;104;163;Canon G7X Mark ii;legocolor105.png;Dark Azure
844;289;19;99;160;Canon G7X Mark ii;legocolor105.png;Dark Azure
899;291;112;149;158;Canon G7X Mark ii;legocolor105.png;Aqua
943;291;124;163;170;Canon G7X Mark ii;legocolor105.png;Aqua
989;331;165;125;27;Canon G7X Mark ii;legocolor105.png;Yellow
1030;331;160;120;22;Canon G7X Mark ii;legocolor105.png;Yellow
1092;366;164;152;92;Canon G7X Mark ii;legocolor105.png;Bright Light Yellow
1134;371;166;155;93;Canon G7X Mark ii;legocolor105.png;Bright Light Yellow
1214;276;159;110;139;Canon G7X Mark ii;legocolor105.png;Bright Pink
1255;276;159;114;145;Canon G7X Mark ii;legocolor105.png;Bright Pink
210;423;147;174;185;Canon G7X Mark ii;legocolor105.png;White
368;421;170;189;196;Canon G7X Mark ii;legocolor105.png;White
479;546;153;195;147;Canon G7X Mark ii;legocolor105.png;Yellowish Green
524;545;150;190;140;Canon G7X Mark ii;legocolor105.png;Yellowish Green
587;585;148;147;126;Canon G7X Mark ii;legocolor105.png;Tan
698;584;150;147;128;Canon G7X Mark ii;legocolor105.png;Tan
771;602;185;52;45;Canon G7X Mark ii;legocolor105.png;Red
825;610;160;39;31;Canon G7X Mark ii;legocolor105.png;Red
918;615;45;48;53;Canon G7X Mark ii;legocolor105.png;Dark Bluish Grey
1043;613;48;55;61;Canon G7X Mark ii;legocolor105.png;Dark Bluish Grey
1136;460;15;15;15;Canon G7X Mark ii;legocolor105.png;Black
1241;459;15;15;15;Canon G7X Mark ii;legocolor105.png;Black
1168;368;69;95;112;Canon G7X Mark ii;legocolor105.png;Light Bluish Grey
1329;365;79;102;118;Canon G7X Mark ii;legocolor105.png;Light Bluish Grey
171;502;161;53;6;Canon G7X Mark ii;legocolor106.png;Orange
410;544;177;78;23;Canon G7X Mark ii;legocolor106.png;Orange
491;513;36;101;121;Canon G7X Mark ii;legocolor106.png;Medium Azure
751;521;38;100;123;Canon G7X Mark ii;legocolor106.png;Medium Azure
826;480;21;73;120;Canon G7X Mark ii;legocolor106.png;Dark Azure
885;478;20;74;120;Canon G7X Mark ii;legocolor106.png;Dark Azure
947;492;115;139;139;Canon G7X Mark ii;legocolor106.png;Aqua
999;493;121;143;141;Canon G7X Mark ii;legocolor106.png;Aqua
1052;559;159;118;28;Canon G7X Mark ii;legocolor106.png;Yellow
1106;556;161;117;28;Canon G7X Mark ii;legocolor106.png;Yellow
1174;593;156;131;64;Canon G7X Mark ii;legocolor106.png;Bright Light Yellow
1222;594;152;127;60;Canon G7X Mark ii;legocolor106.png;Bright Light Yellow
1306;478;150;92;114;Canon G7X Mark ii;legocolor106.png;Bright Pink
1359;477;153;99;131;Canon G7X Mark ii;legocolor106.png;Bright Pink
121;666;150;139;133;Canon G7X Mark ii;legocolor106.png;White
330;660;152;141;135;Canon G7X Mark ii;legocolor106.png;White
444;817;124;138;77;Canon G7X Mark ii;legocolor106.png;Yellowish Green
492;821;124;138;77;Canon G7X Mark ii;legocolor106.png;Yellowish Green
575;874;125;104;73;Canon G7X Mark ii;legocolor106.png;Tan
690;876;126;102;74;Canon G7X Mark ii;legocolor106.png;Tan
789;915;109;18;15;Canon G7X Mark ii;legocolor106.png;Red
857;917;124;22;20;Canon G7X Mark ii;legocolor106.png;Red
978;923;38;37;42;Canon G7X Mark ii;legocolor106.png;Dark Bluish Grey
1116;921;41;40;45;Canon G7X Mark ii;legocolor106.png;Dark Bluish Grey
1238;733;14;14;14;Canon G7X Mark ii;legocolor106.png;Black
1366;730;14;14;16;Canon G7X Mark ii;legocolor106.png;Black
1276;599;60;61;66;Canon G7X Mark ii;legocolor106.png;Light Bluish Grey
1462;594;84;89;95;Canon G7X Mark ii;legocolor106.png;Light Bluish Grey
687;297;222;72;22;Canon G7X Mark ii;legocolor107.png;Orange
768;391;238;106;21;Canon G7X Mark ii;legocolor107.png;Orange
811;391;62;164;179;Canon G7X Mark ii;legocolor107.png;Medium Azure
975;485;60;163;180;Canon G7X Mark ii;legocolor107.png;Medium Azure
910;439;33;131;170;Canon G7X Mark ii;legocolor107.png;Dark Azure
930;452;32;130;167;Canon G7X Mark ii;legocolor107.png;Dark Azure
1005;495;138;183;188;Canon G7X Mark ii;legocolor107.png;Aqua
1029;505;152;188;188;Canon G7X Mark ii;legocolor107.png;Aqua
1118;559;196;156;45;Canon G7X Mark ii;legocolor107.png;Yellow
1138;568;197;156;51;Canon G7X Mark ii;legocolor107.png;Yellow
1134;616;192;176;114;Canon G7X Mark ii;legocolor107.png;Bright Light Yellow
1152;630;192;174;112;Canon G7X Mark ii;legocolor107.png;Bright Light Yellow
1287;600;194;135;163;Canon G7X Mark ii;legocolor107.png;Bright Pink
1313;611;188;132;159;Canon G7X Mark ii;legocolor107.png;Bright Pink
513;326;169;164;161;Canon G7X Mark ii;legocolor107.png;White
603;388;177;174;169;Canon G7X Mark ii;legocolor107.png;White
591;499;162;185;129;Canon G7X Mark ii;legocolor107.png;Yellowish Green
652;514;155;183;122;Canon G7X Mark ii;legocolor107.png;Yellowish Green
546;541;167;150;122;Canon G7X Mark ii;legocolor107.png;Tan
629;556;186;165;134;Canon G7X Mark ii;legocolor107.png;Tan
560;600;176;58;58;Canon G7X Mark ii;legocolor107.png;Red
602;605;154;16;16;Canon G7X Mark ii;legocolor107.png;Red
687;666;84;69;76;Canon G7X Mark ii;legocolor107.png;Dark Bluish Grey
759;706;66;71;75;Canon G7X Mark ii;legocolor107.png;Dark Bluish Grey
861;646;20;21;25;Canon G7X Mark ii;legocolor107.png;Black
917;672;43;44;46;Canon G7X Mark ii;legocolor107.png;Black
977;600;99;106;114;Canon G7X Mark ii;legocolor107.png;Light Bluish Grey
1075;644;143;153;163;Canon G7X Mark ii;legocolor107.png;Light Bluish Grey
667;208;152;39;21;Canon G7X Mark ii;legocolor108.png;Orange
767;294;149;39;16;Canon G7X Mark ii;legocolor108.png;Orange
816;296;38;108;120;Canon G7X Mark ii;legocolor108.png;Medium Azure
915;351;31;104;119;Canon G7X Mark ii;legocolor108.png;Medium Azure
933;357;18;91;123;Canon G7X Mark ii;legocolor108.png;Dark Azure
961;373;20;95;127;Canon G7X Mark ii;legocolor108.png;Dark Azure
1040;416;105;136;139;Canon G7X Mark ii;legocolor108.png;Aqua
1059;423;130;154;154;Canon G7X Mark ii;legocolor108.png;Aqua
1157;497;159;110;33;Canon G7X Mark ii;legocolor108.png;Yellow
1184;511;150;97;27;Canon G7X Mark ii;legocolor108.png;Yellow
1180;554;128;104;56;Canon G7X Mark ii;legocolor108.png;Bright Light Yellow
1229;574;157;125;74;Canon G7X Mark ii;legocolor108.png;Bright Light Yellow
1356;539;177;114;143;Canon G7X Mark ii;legocolor108.png;Bright Pink
1389;558;177;121;158;Canon G7X Mark ii;legocolor108.png;Bright Pink
501;253;157;151;151;Canon G7X Mark ii;legocolor108.png;White
597;310;154;146;144;Canon G7X Mark ii;legocolor108.png;White
590;439;126;134;87;Canon G7X Mark ii;legocolor108.png;Yellowish Green
638;456;109;121;73;Canon G7X Mark ii;legocolor108.png;Yellowish Green
549;495;129;107;86;Canon G7X Mark ii;legocolor108.png;Tan
587;512;126;99;80;Canon G7X Mark ii;legocolor108.png;Tan
571;583;126;7;13;Canon G7X Mark ii;legocolor108.png;Red
613;587;111;2;8;Canon G7X Mark ii;legocolor108.png;Red
712;646;39;37;40;Canon G7X Mark ii;legocolor108.png;Dark Bluish Grey
777;694;48;47;52;Canon G7X Mark ii;legocolor108.png;Dark Bluish Grey
912;670;9;10;12;Canon G7X Mark ii;legocolor108.png;Black
1005;710;21;21;21;Canon G7X Mark ii;legocolor108.png;Black
1033;559;66;70;81;Canon G7X Mark ii;legocolor108.png;Light Bluish Grey
1152;631;109;118;127;Canon G7X Mark ii;legocolor108.png;Light Bluish Grey
502;285;114;44;8;Canon G7X Mark ii;legocolor109.png;Orange
646;332;218;109;14;Canon G7X Mark ii;legocolor109.png;Orange
706;326;52;113;132;Canon G7X Mark ii;legocolor109.png;Medium Azure
865;375;57;125;148;Canon G7X Mark ii;legocolor109.png;Medium Azure
889;370;34;89;130;Canon G7X Mark ii;legocolor109.png;Dark Azure
925;380;31;86;127;Canon G7X Mark ii;legocolor109.png;Dark Azure
1003;407;114;142;143;Canon G7X Mark ii;legocolor109.png;Aqua
1042;424;122;148;145;Canon G7X Mark ii;legocolor109.png;Aqua
1135;464;141;108;15;Canon G7X Mark ii;legocolor109.png;Yellow
1168;476;159;122;31;Canon G7X Mark ii;legocolor109.png;Yellow
1182;505;212;196;121;Canon G7X Mark ii;legocolor109.png;Bright Light Yellow
1245;528;138;126;88;Canon G7X Mark ii;legocolor109.png;Bright Light Yellow
1354;480;132;94;109;Canon G7X Mark ii;legocolor109.png;Bright Pink
1397;495;121;88;107;Canon G7X Mark ii;legocolor109.png;Bright Pink
340;315;115;123;108;Canon G7X Mark ii;legocolor109.png;White
493;374;140;142;128;Canon G7X Mark ii;legocolor109.png;White
515;506;133;155;93;Canon G7X Mark ii;legocolor109.png;Yellowish Green
553;506;176;195;131;Canon G7X Mark ii;legocolor109.png;Yellowish Green
513;577;130;117;85;Canon G7X Mark ii;legocolor109.png;Tan
565;589;125;110;79;Canon G7X Mark ii;legocolor109.png;Tan
585;655;118;35;31;Canon G7X Mark ii;legocolor109.png;Red
631;662;92;21;19;Canon G7X Mark ii;legocolor109.png;Red
742;684;53;53;55;Canon G7X Mark ii;legocolor109.png;Dark Bluish Grey
833;726;48;52;51;Canon G7X Mark ii;legocolor109.png;Dark Bluish Grey
973;678;24;26;25;Canon G7X Mark ii;legocolor109.png;Black
1063;708;3;5;4;Canon G7X Mark ii;legocolor109.png;Black
1071;553;47;56;53;Canon G7X Mark ii;legocolor109.png;Light Bluish Grey
1218;605;61;70;67;Canon G7X Mark ii;legocolor109.png;Light Bluish Grey
1408;478;187;63;25;Canon G7X Mark ii;legocolor110.png;Orange
1262;527;172;53;21;Canon G7X Mark ii;legocolor110.png;Orange
1276;594;56;151;157;Canon G7X Mark ii;legocolor110.png;Medium Azure
1069;664;56;158;163;Canon G7X Mark ii;legocolor110.png;Medium Azure
860;444;16;114;143;Canon G7X Mark ii;legocolor110.png;Dark Azure
807;446;15;110;140;Canon G7X Mark ii;legocolor110.png;Dark Azure
783;557;157;184;169;Canon G7X Mark ii;legocolor110.png;Aqua
736;562;158;179;164;Canon G7X Mark ii;legocolor110.png;Aqua
744;769;192;138;32;Canon G7X Mark ii;legocolor110.png;Yellow
699;776;195;139;30;Canon G7X Mark ii;legocolor110.png;Yellow
589;740;195;162;85;Canon G7X Mark ii;legocolor110.png;Bright Light Yellow
542;748;193;159;87;Canon G7X Mark ii;legocolor110.png;Bright Light Yellow
504;901;188;131;150;Canon G7X Mark ii;legocolor110.png;Bright Pink
409;927;188;130;152;Canon G7X Mark ii;legocolor110.png;Bright Pink
1261;294;167;153;144;Canon G7X Mark ii;legocolor110.png;White
1089;317;173;161;149;Canon G7X Mark ii;legocolor110.png;White
979;384;117;133;84;Canon G7X Mark ii;legocolor110.png;Yellowish Green
928;388;107;122;79;Canon G7X Mark ii;legocolor110.png;Yellowish Green
817;299;115;100;69;Canon G7X Mark ii;legocolor110.png;Tan
751;305;116;100;74;Canon G7X Mark ii;legocolor110.png;Tan
625;255;128;25;28;Canon G7X Mark ii;legocolor110.png;Red
576;247;103;10;18;Canon G7X Mark ii;legocolor110.png;Red
550;361;34;38;39;Canon G7X Mark ii;legocolor110.png;Dark Bluish Grey
451;378;33;37;38;Canon G7X Mark ii;legocolor110.png;Dark Bluish Grey
376;347;14;14;14;Canon G7X Mark ii;legocolor110.png;Black
298;348;11;13;12;Canon G7X Mark ii;legocolor110.png;Black
414;427;103;100;91;Canon G7X Mark ii;legocolor110.png;Light Bluish Grey
242;460;98;97;93;Canon G7X Mark ii;legocolor110.png;Light Bluish Grey
1379;584;126;30;5;Canon G7X Mark ii;legocolor111.png;Orange
1235;614;225;99;25;Canon G7X Mark ii;legocolor111.png;Orange
1212;649;18;57;74;Canon G7X Mark ii;legocolor111.png;Medium Azure
1022;670;18;61;78;Canon G7X Mark ii;legocolor111.png;Medium Azure
862;532;15;111;153;Canon G7X Mark ii;legocolor111.png;Dark Azure
823;532;11;107;149;Canon G7X Mark ii;legocolor111.png;Dark Azure
802;605;109;149;148;Canon G7X Mark ii;legocolor111.png;Aqua
758;616;118;149;141;Canon G7X Mark ii;legocolor111.png;Aqua
760;772;138;91;23;Canon G7X Mark ii;legocolor111.png;Yellow
718;771;158;105;25;Canon G7X Mark ii;legocolor111.png;Yellow
640;750;193;160;89;Canon G7X Mark ii;legocolor111.png;Bright Light Yellow
597;753;190;159;94;Canon G7X Mark ii;legocolor111.png;Bright Light Yellow
569;856;111;64;98;Canon G7X Mark ii;legocolor111.png;Bright Pink
502;866;150;96;132;Canon G7X Mark ii;legocolor111.png;Bright Pink
1276;439;156;116;108;Canon G7X Mark ii;legocolor111.png;White
1100;461;191;157;148;Canon G7X Mark ii;legocolor111.png;White
1021;534;174;195;138;Canon G7X Mark ii;legocolor111.png;Yellowish Green
984;537;171;196;139;Canon G7X Mark ii;legocolor111.png;Yellowish Green
870;461;175;162;130;Canon G7X Mark ii;legocolor111.png;Tan
810;472;174;159;130;Canon G7X Mark ii;legocolor111.png;Tan
710;428;211;92;94;Canon G7X Mark ii;legocolor111.png;Red
666;426;211;67;67;Canon G7X Mark ii;legocolor111.png;Red
633;527;85;90;94;Canon G7X Mark ii;legocolor111.png;Dark Bluish Grey
546;540;91;96;102;Canon G7X Mark ii;legocolor111.png;Dark Bluish Grey
472;472;56;57;59;Canon G7X Mark ii;legocolor111.png;Black
418;478;54;54;56;Canon G7X Mark ii;legocolor111.png;Black
500;530;128;119;110;Canon G7X Mark ii;legocolor111.png;Light Bluish Grey
373;546;103;102;107;Canon G7X Mark ii;legocolor111.png;Light Bluish Grey
327;462;193;89;18;Canon G7X Mark ii;legocolor112.png;Orange
475;514;237;151;94;Canon G7X Mark ii;legocolor112.png;Orange
576;499;68;154;187;Canon G7X Mark ii;legocolor112.png;Medium Azure
775;505;70;158;194;Canon G7X Mark ii;legocolor112.png;Medium Azure
833;470;44;123;189;Canon G7X Mark ii;legocolor112.png;Dark Azure
871;467;44;122;186;Canon G7X Mark ii;legocolor112.png;Dark Azure
918;471;157;190;199;Canon G7X Mark ii;legocolor112.png;Aqua
959;475;166;196;204;Canon G7X Mark ii;legocolor112.png;Aqua
999;508;194;163;47;Canon G7X Mark ii;legocolor112.png;Yellow
1038;514;203;167;53;Canon G7X Mark ii;legocolor112.png;Yellow
1094;542;192;179;111;Canon G7X Mark ii;legocolor112.png;Bright Light Yellow
1122;561;197;182;115;Canon G7X Mark ii;legocolor112.png;Bright Light Yellow
1203;465;200;154;183;Canon G7X Mark ii;legocolor112.png;Bright Pink
1241;465;193;148;179;Canon G7X Mark ii;legocolor112.png;Bright Pink
304;569;172;172;174;Canon G7X Mark ii;legocolor112.png;White
492;585;189;189;187;Canon G7X Mark ii;legocolor112.png;White
549;709;170;197;146;Canon G7X Mark ii;legocolor112.png;Yellowish Green
586;709;167;191;139;Canon G7X Mark ii;legocolor112.png;Yellowish Green
659;764;175;161;132;Canon G7X Mark ii;legocolor112.png;Tan
746;775;174;157;129;Canon G7X Mark ii;legocolor112.png;Tan
803;806;165;52;46;Canon G7X Mark ii;legocolor112.png;Red
842;806;175;50;44;Canon G7X Mark ii;legocolor112.png;Red
929;780;79;82;91;Canon G7X Mark ii;legocolor112.png;Dark Bluish Grey
1024;780;72;79;87;Canon G7X Mark ii;legocolor112.png;Dark Bluish Grey
1125;639;30;30;30;Canon G7X Mark ii;legocolor112.png;Black
1199;639;31;31;31;Canon G7X Mark ii;legocolor112.png;Black
1171;542;105;113;126;Canon G7X Mark ii;legocolor112.png;Light Bluish Grey
1265;543;117;125;138;Canon G7X Mark ii;legocolor112.png;Light Bluish Grey
530;188;161;55;13;Canon G7X Mark ii;legocolor113.png;Orange
642;303;169;70;15;Canon G7X Mark ii;legocolor113.png;Orange
711;319;38;102;129;Canon G7X Mark ii;legocolor113.png;Medium Azure
862;395;39;104;132;Canon G7X Mark ii;legocolor113.png;Medium Azure
879;428;24;77;127;Canon G7X Mark ii;legocolor113.png;Dark Azure
914;441;25;77;125;Canon G7X Mark ii;legocolor113.png;Dark Azure
1002;475;109;139;147;Canon G7X Mark ii;legocolor113.png;Aqua
1038;491;116;144;147;Canon G7X Mark ii;legocolor113.png;Aqua
1134;535;149;117;30;Canon G7X Mark ii;legocolor113.png;Yellow
1167;558;152;116;28;Canon G7X Mark ii;legocolor113.png;Yellow
1177;627;155;139;80;Canon G7X Mark ii;legocolor113.png;Bright Light Yellow
1214;646;153;138;79;Canon G7X Mark ii;legocolor113.png;Bright Light Yellow
1361;587;148;98;127;Canon G7X Mark ii;legocolor113.png;Bright Pink
1404;622;149;100;130;Canon G7X Mark ii;legocolor113.png;Bright Pink
387;306;155;153;158;Canon G7X Mark ii;legocolor113.png;White
466;378;155;153;154;Canon G7X Mark ii;legocolor113.png;White
484;526;128;148;97;Canon G7X Mark ii;legocolor113.png;Yellowish Green
514;546;125;145;92;Canon G7X Mark ii;legocolor113.png;Yellowish Green
457;633;128;113;90;Canon G7X Mark ii;legocolor113.png;Tan
519;675;126;108;84;Canon G7X Mark ii;legocolor113.png;Tan
509;762;113;39;36;Canon G7X Mark ii;legocolor113.png;Red
556;772;101;15;14;Canon G7X Mark ii;legocolor113.png;Red
679;811;44;43;48;Canon G7X Mark ii;legocolor113.png;Dark Bluish Grey
756;862;44;45;49;Canon G7X Mark ii;legocolor113.png;Dark Bluish Grey
926;789;18;18;18;Canon G7X Mark ii;legocolor113.png;Black
1000;832;16;16;16;Canon G7X Mark ii;legocolor113.png;Black
1052;697;61;64;71;Canon G7X Mark ii;legocolor113.png;Light Bluish Grey
1173;771;81;84;91;Canon G7X Mark ii;legocolor113.png;Light Bluish Grey
404;408;171;43;14;Canon G7X Mark ii;legocolor114.png;Orange
557;447;156;45;18;Canon G7X Mark ii;legocolor114.png;Orange
620;430;46;122;138;Canon G7X Mark ii;legocolor114.png;Medium Azure
786;436;31;107;123;Canon G7X Mark ii;legocolor114.png;Medium Azure
840;455;21;89;126;Canon G7X Mark ii;legocolor114.png;Dark Azure
866;455;21;91;127;Canon G7X Mark ii;legocolor114.png;Dark Azure
918;429;102;135;140;Canon G7X Mark ii;legocolor114.png;Aqua
945;431;113;144;146;Canon G7X Mark ii;legocolor114.png;Aqua
990;396;140;96;21;Canon G7X Mark ii;legocolor114.png;Yellow
1018;399;136;91;24;Canon G7X Mark ii;legocolor114.png;Yellow
1061;447;138;116;67;Canon G7X Mark ii;legocolor114.png;Bright Light Yellow
1092;450;142;120;70;Canon G7X Mark ii;legocolor114.png;Bright Light Yellow
1162;354;173;116;148;Canon G7X Mark ii;legocolor114.png;Bright Pink
1189;357;188;133;172;Canon G7X Mark ii;legocolor114.png;Bright Pink
388;604;181;179;184;Canon G7X Mark ii;legocolor114.png;White
539;602;164;160;159;Canon G7X Mark ii;legocolor114.png;White
607;703;124;141;96;Canon G7X Mark ii;legocolor114.png;Yellowish Green
631;707;113;129;84;Canon G7X Mark ii;legocolor114.png;Yellowish Green
