X_axis;Y_axis;R;G;B;Camera;Photo_number;Color;Hue;Saturation;Value;Y;U;V;R_Average;G_Average;B_Average
1206;518;10;13;18;Canon G7X Mark ii;legocolor101.png;Black;218.0;0.44444444;0.07058824;12.673;2.620884;-2.344221;114;99;86
1180;392;41;56;75;Canon G7X Mark ii;legocolor101.png;Light Bluish Grey;214.0;0.45333333;0.29411765;53.681;10.488948;-11.121237;114;99;86
1266;388;52;69;87;Canon G7X Mark ii;legocolor101.png;Light Bluish Grey;211.0;0.40229885;0.34117647;65.969;10.347252;-12.250813;114;99;86
1225;685;118;28;4;Canon G7X Mark ii;legocolor102.png;Orange;13.0;0.96610169;0.4627451;52.174;-23.701608;57.729402;118;119;116
1448;679;134;32;7;Canon G7X Mark ii;legocolor102.png;Orange;12.0;0.94776119;0.5254902;59.648;-25.902816;65.206704;118;119;116
866;769;37;110;119;Canon G7X Mark ii;legocolor102.png;Medium Azure;187.0;0.68907563;0.46666667;89.199;14.662092;-45.778523;118;119;116
1145;778;37;112;117;Canon G7X Mark ii;legocolor102.png;Medium Azure;184.0;0.68376068;0.45882353;90.145;13.21266;-46.608165;118;119;116
732;550;17;76;106;Canon G7X Mark ii;legocolor102.png;Dark Azure;200.0;0.83962264;0.41568627;61.779;21.756732;-39.271183;118;119;116
782;550;15;78;109;Canon G7X Mark ii;legocolor102.png;Dark Azure;200.0;0.86238532;0.42745098;62.697;22.781076;-41.830269;118;119;116
610;609;114;135;116;Canon G7X Mark ii;legocolor102.png;Aqua;126.0;0.15555556;0.52941176;126.555;-5.19306;-11.010735;118;119;116
657;609;106;130;114;Canon G7X Mark ii;legocolor102.png;Aqua;140.0;0.18461538;0.50980392;121.0;-3.444;-13.155;118;119;116
482;809;136;93;14;Canon G7X Mark ii;legocolor102.png;Yellow;39.0;0.89705882;0.53333333;96.851;-40.762692;34.333673;118;119;116
534;807;139;98;16;Canon G7X Mark ii;legocolor102.png;Yellow;40.0;0.88489209;0.54509804;100.911;-41.776212;33.404053;118;119;116
377;746;135;111;51;Canon G7X Mark ii;legocolor102.png;Bright Light Yellow;43.0;0.62222222;0.52941176;111.336;-29.685312;20.753328;118;119;116
433;750;137;109;44;Canon G7X Mark ii;legocolor102.png;Bright Light Yellow;42.0;0.67883212;0.5372549;109.962;-32.453304;23.712326;118;119;116
185;877;121;75;86;Canon G7X Mark ii;legocolor102.png;Bright Pink;346.0;0.38016529;0.4745098;90.008;-1.971936;27.179984;118;119;116
257;878;127;79;91;Canon G7X Mark ii;legocolor102.png;Bright Pink;345.0;0.37795276;0.49803922;94.72;-1.83024;28.30956;118;119;116
1188;430;123;111;97;Canon G7X Mark ii;legocolor102.png;White;32.0;0.21138211;0.48235294;112.992;-7.868064;8.777016;118;119;116
1410;430;116;108;97;Canon G7X Mark ii;legocolor102.png;White;35.0;0.1637931;0.45490196;109.138;-5.971896;6.017974;118;119;116
1055;510;73;95;56;Canon G7X Mark ii;legocolor102.png;Yellowish Green;94.0;0.41052632;0.37254902;83.976;-13.764192;-9.625952;118;119;116
1096;508;77;95;55;Canon G7X Mark ii;legocolor102.png;Yellowish Green;87.0;0.42105263;0.37254902;85.058;-14.788536;-7.066866;118;119;116
900;419;74;66;47;Canon G7X Mark ii;legocolor102.png;Tan;42.0;0.36486486;0.29019608;66.226;-9.459192;6.817798;118;119;116
969;420;78;72;48;Canon G7X Mark ii;legocolor102.png;Tan;48.0;0.38461538;0.30588235;71.058;-11.344536;6.088134;118;119;116
792;331;73;14;20;Canon G7X Mark ii;legocolor102.png;Red;354.0;0.80821918;0.28627451;32.325;-6.0639;35.671975;118;119;116
835;331;88;15;22;Canon G7X Mark ii;legocolor102.png;Red;354.0;0.82954545;0.34509804;37.625;-7.6875;44.178875;118;119;116
609;430;26;30;31;Canon G7X Mark ii;legocolor102.png;Dark Bluish Grey;192.0;0.16129032;0.12156863;28.918;1.024344;-2.559086;118;119;116
702;438;23;27;30;Canon G7X Mark ii;legocolor102.png;Dark Bluish Grey;206.0;0.23333333;0.11764706;26.146;1.896168;-2.759042;118;119;116
420;365;9;13;14;Canon G7X Mark ii;legocolor102.png;Black;192.0;0.35714286;0.05490196;11.918;1.024344;-2.559086;118;119;116
485;374;13;14;16;Canon G7X Mark ii;legocolor102.png;Black;220.0;0.1875;0.0627451;13.929;1.018932;-0.814733;118;119;116
280;438;66;68;65;Canon G7X Mark ii;legocolor102.png;Light Bluish Grey;100.0;0.04411765;0.26666667;67.06;-1.01352;-0.92962;118;119;116
410;441;64;65;60;Canon G7X Mark ii;legocolor102.png;Light Bluish Grey;72.0;0.07692308;0.25490196;64.131;-2.032452;-0.114887;118;119;116
1104;491;140;37;4;Canon G7X Mark ii;legocolor103.png;Orange;15.0;0.97142857;0.54901961;64.035;-29.53722;66.621305;136;135;136
1136;497;145;56;24;Canon G7X Mark ii;legocolor103.png;Orange;16.0;0.83448276;0.56862745;78.963;-27.041796;57.914449;136;135;136
1159;600;34;106;131;Canon G7X Mark ii;legocolor103.png;Medium Azure;195.0;0.74045802;0.51372549;87.322;21.489576;-46.763394;136;135;136
1345;606;33;99;123;Canon G7X Mark ii;legocolor103.png;Medium Azure;196.0;0.73170732;0.48235294;82.002;20.171016;-42.974754;136;135;136
1088;609;16;61;103;Canon G7X Mark ii;legocolor103.png;Dark Azure;209.0;0.84466019;0.40392157;52.333;24.928164;-31.864041;136;135;136
1108;610;12;55;97;Canon G7X Mark ii;legocolor103.png;Dark Azure;210.0;0.87628866;0.38039216;46.931;24.633948;-30.634487;136;135;136
1181;663;101;120;114;Canon G7X Mark ii;legocolor103.png;Aqua;161.0;0.15833333;0.47058824;113.635;0.17958;-11.080895;136;135;136
1183;756;103;119;108;Canon G7X Mark ii;legocolor103.png;Aqua;139.0;0.13445378;0.46666667;112.962;-2.441304;-8.736674;136;135;136
1238;841;133;117;58;Canon G7X Mark ii;legocolor103.png;Yellow;47.0;0.56390977;0.52156863;115.058;-28.072536;15.735134;136;135;136
1291;843;136;117;61;Canon G7X Mark ii;legocolor103.png;Yellow;45.0;0.55147059;0.53333333;116.297;-27.206124;17.279531;136;135;136
1311;797;128;91;20;Canon G7X Mark ii;legocolor103.png;Bright Light Yellow;39.0;0.84375;0.50196078;93.969;-36.392748;29.845187;136;135;136
1358;800;125;88;17;Canon G7X Mark ii;legocolor103.png;Bright Light Yellow;39.0;0.864;0.49019608;90.969;-36.392748;29.845187;136;135;136
1427;934;129;77;113;Canon G7X Mark ii;legocolor103.png;Bright Pink;318.0;0.40310078;0.50588235;96.652;8.043216;28.369196;136;135;136
1455;963;139;96;126;Canon G7X Mark ii;legocolor103.png;Bright Pink;318.0;0.30935252;0.54509804;112.277;6.751716;23.436071;136;135;136
877;496;127;126;122;Canon G7X Mark ii;legocolor103.png;White;48.0;0.03937008;0.49803922;125.843;-1.890756;1.014689;136;135;136
875;584;159;156;149;Canon G7X Mark ii;legocolor103.png;White;42.0;0.06289308;0.62352941;156.099;-3.492708;2.544177;136;135;136
804;630;101;120;65;Canon G7X Mark ii;legocolor103.png;Yellowish Green;81.0;0.45833333;0.47058824;108.049;-21.180108;-6.181973;136;135;136
842;632;106;125;69;Canon G7X Mark ii;legocolor103.png;Yellowish Green;80.0;0.448;0.49019608;112.935;-21.61602;-6.081995;136;135;136
654;626;123;107;82;Canon G7X Mark ii;legocolor103.png;Tan;37.0;0.33333333;0.48235294;108.934;-13.251528;12.335882;136;135;136
706;621;130;114;88;Canon G7X Mark ii;legocolor103.png;Tan;37.0;0.32307692;0.50980392;115.82;-13.68744;12.43586;136;135;136
539;651;122;31;38;Canon G7X Mark ii;legocolor103.png;Red;355.0;0.74590164;0.47843137;59.007;-10.335444;55.244861;136;135;136
587;652;72;8;8;Canon G7X Mark ii;legocolor103.png;Red;0.0;0.88888889;0.28235294;27.136;-9.414912;39.345728;136;135;136
635;777;31;31;33;Canon G7X Mark ii;legocolor103.png;Dark Bluish Grey;240.0;0.06060606;0.12941176;31.228;0.871824;-0.199956;136;135;136
680;783;25;26;28;Canon G7X Mark ii;legocolor103.png;Dark Bluish Grey;220.0;0.10714286;0.10980392;25.929;1.018932;-0.814733;136;135;136
757;764;12;12;12;Canon G7X Mark ii;legocolor103.png;Black;0.0;0.0;0.04705882;12.0;0.0;0.0;136;135;136
754;888;7;7;7;Canon G7X Mark ii;legocolor103.png;Black;0.0;0.0;0.02745098;7.0;0.0;0.0;136;135;136
906;863;74;78;81;Canon G7X Mark ii;legocolor103.png;Light Bluish Grey;206.0;0.08641975;0.31764706;77.146;1.896168;-2.759042;136;135;136
967;866;66;71;75;Canon G7X Mark ii;legocolor103.png;Light Bluish Grey;207.0;0.12;0.29411765;69.961;2.479188;-3.473797;136;135;136
336;273;159;49;12;Canon G7X Mark ii;legocolor104.png;Orange;15.0;0.9245283;0.62352941;77.672;-32.310624;71.324656;123;107;94
505;309;149;48;18;Canon G7X Mark ii;legocolor104.png;Orange;14.0;0.87919463;0.58431373;74.779;-27.935268;65.091817;123;107;94
573;275;23;131;167;Canon G7X Mark ii;legocolor104.png;Medium Azure;195.0;0.86227545;0.65490196;102.812;31.580496;-69.995124;123;107;94
746;286;30;144;181;Canon G7X Mark ii;legocolor104.png;Medium Azure;195.0;0.83425414;0.70980392;114.132;32.899056;-73.783764;123;107;94
812;335;16;109;166;Canon G7X Mark ii;legocolor104.png;Dark Azure;203.0;0.90361446;0.65098039;87.691;38.528028;-62.873007;123;107;94
843;335;15;110;168;Canon G7X Mark ii;legocolor104.png;Dark Azure;203.0;0.91071429;0.65882353;88.207;39.258156;-64.202539;123;107;94
898;280;114;176;199;Canon G7X Mark ii;legocolor104.png;Aqua;196.0;0.42713568;0.78039216;160.084;19.146672;-40.415668;123;107;94
925;280;117;177;201;Canon G7X Mark ii;legocolor104.png;Aqua;197.0;0.41791045;0.78823529;161.796;19.288368;-39.286092;123;107;94
972;187;155;129;55;Canon G7X Mark ii;legocolor104.png;Yellow;44.0;0.64516129;0.60784314;128.338;-36.082296;23.382574;123;107;94
1014;188;166;137;59;Canon G7X Mark ii;legocolor104.png;Yellow;44.0;0.64457831;0.65098039;136.779;-38.267268;25.626817;123;107;94
1057;259;165;159;111;Canon G7X Mark ii;legocolor104.png;Bright Light Yellow;53.0;0.32727273;0.64705882;155.322;-21.806424;8.487606;123;107;94
1088;259;168;164;117;Canon G7X Mark ii;legocolor104.png;Bright Light Yellow;55.0;0.30357143;0.65882353;159.838;-21.076296;7.158074;123;107;94
1174;151;159;128;185;Canon G7X Mark ii;legocolor104.png;Bright Pink;273.0;0.30810811;0.7254902;143.767;20.286636;13.359341;123;107;94
1200;150;154;123;182;Canon G7X Mark ii;legocolor104.png;Bright Pink;272.0;0.32417582;0.71372549;138.995;21.15846;13.159385;123;107;94
309;499;152;169;189;Canon G7X Mark ii;legocolor104.png;White;212.0;0.1957672;0.74117647;166.197;11.219076;-12.450769;123;107;94
497;503;152;167;186;Canon G7X Mark ii;legocolor104.png;White;214.0;0.1827957;0.72941176;164.681;10.488948;-11.121237;123;107;94
557;579;121;171;122;Canon G7X Mark ii;legocolor104.png;Yellowish Green;121.0;0.29239766;0.67058824;150.464;-14.004288;-25.839928;123;107;94
590;583;120;170;117;Canon G7X Mark ii;legocolor104.png;Yellowish Green;117.0;0.31176471;0.66666667;149.008;-15.747936;-25.440016;123;107;94
662;719;126;122;111;Canon G7X Mark ii;legocolor104.png;Tan;44.0;0.11904762;0.49411765;121.942;-5.383464;3.558866;123;107;94
695;719;129;125;114;Canon G7X Mark ii;legocolor104.png;Tan;44.0;0.11627907;0.50588235;124.942;-5.383464;3.558866;123;107;94
773;798;117;26;41;Canon G7X Mark ii;legocolor104.png;Red;350.0;0.77777778;0.45882353;54.919;-6.848148;54.445037;123;107;94
814;804;124;25;43;Canon G7X Mark ii;legocolor104.png;Red;349.0;0.7983871;0.48627451;56.653;-6.717276;59.063319;123;107;94
888;726;32;47;66;Canon G7X Mark ii;legocolor104.png;Dark Bluish Grey;214.0;0.51515152;0.25882353;44.681;10.488948;-11.121237;123;107;94
976;726;41;58;76;Canon G7X Mark ii;legocolor104.png;Dark Bluish Grey;211.0;0.46052632;0.29803922;54.969;10.347252;-12.250813;123;107;94
1062;617;15;16;20;Canon G7X Mark ii;legocolor104.png;Black;228.0;0.25;0.07843137;16.157;1.890756;-1.014689;123;107;94
1145;621;8;12;15;Canon G7X Mark ii;legocolor104.png;Black;206.0;0.46666667;0.05882353;11.146;1.896168;-2.759042;123;107;94
1092;467;66;87;106;Canon G7X Mark ii;legocolor104.png;Light Bluish Grey;208.0;0.37735849;0.41568627;82.887;11.371596;-14.809899;123;107;94
1235;475;83;105;129;Canon G7X Mark ii;legocolor104.png;Light Bluish Grey;211.0;0.35658915;0.50588235;101.158;13.698264;-15.924566;123;107;94
211;290;174;66;4;Canon G7X Mark ii;legocolor105.png;Orange;22.0;0.97701149;0.68235294;91.224;-42.914208;72.594552;61;63;63
386;330;187;80;8;Canon G7X Mark ii;legocolor105.png;Orange;24.0;0.95721925;0.73333333;103.785;-47.12622;72.979555;61;63;63
502;310;45;131;164;Canon G7X Mark ii;legocolor105.png;Medium Azure;197.0;0.72560976;0.64313725;109.048;27.036384;-56.170096;61;63;63
714;303;44;138;172;Canon G7X Mark ii;legocolor105.png;Medium Azure;196.0;0.74418605;0.6745098;113.77;28.64916;-61.18829;61;63;63
806;281;25;104;163;Canon G7X Mark ii;legocolor105.png;Dark Azure;206.0;0.84662577;0.63921569;87.105;37.34034;-54.466085;61;63;63
844;289;19;99;160;Canon G7X Mark ii;legocolor105.png;Dark Azure;206.0;0.88125;0.62745098;82.034;38.359272;-55.280818;61;63;63
899;291;112;149;158;Canon G7X Mark ii;legocolor105.png;Aqua;192.0;0.29113924;0.61960784;138.963;9.366204;-23.646551;61;63;63
943;291;124;163;170;Canon G7X Mark ii;legocolor105.png;Aqua;189.0;0.27058824;0.66666667;152.137;8.788596;-24.676149;61;63;63
989;331;165;125;27;Canon G7X Mark ii;legocolor105.png;Yellow;43.0;0.83636364;0.64705882;125.788;-48.603696;34.388924;61;63;63
1030;331;160;120;22;Canon G7X Mark ii;legocolor105.png;Yellow;43.0;0.8625;0.62745098;120.788;-48.603696;34.388924;61;63;63
1092;366;164;152;92;Canon G7X Mark ii;legocolor105.png;Bright Light Yellow;50.0;0.43902439;0.64313725;148.748;-27.920016;13.376004;61;63;63
1134;371;166;155;93;Canon G7X Mark ii;legocolor105.png;Bright Light Yellow;51.0;0.43975904;0.65098039;151.221;-28.644732;12.961183;61;63;63
1214;276;159;110;139;Canon G7X Mark ii;legocolor105.png;Bright Pink;324.0;0.3081761;0.62352941;127.957;5.433156;27.224711;61;63;63
1255;276;159;114;145;Canon G7X Mark ii;legocolor105.png;Bright Pink;319.0;0.28301887;0.62352941;130.989;6.893412;24.565647;61;63;63
210;423;147;174;185;Canon G7X Mark ii;legocolor105.png;White;197.0;0.20540541;0.7254902;167.181;8.766948;-17.698737;61;63;63
368;421;170;189;196;Canon G7X Mark ii;legocolor105.png;White;196.0;0.13265306;0.76862745;184.117;5.846436;-12.380609;61;63;63
479;546;153;195;147;Canon G7X Mark ii;legocolor105.png;Yellowish Green;112.0;0.24615385;0.76470588;176.97;-14.74524;-21.02169;61;63;63
524;545;150;190;140;Canon G7X Mark ii;legocolor105.png;Yellowish Green;108.0;0.26315789;0.74509804;172.34;-15.91128;-19.59218;61;63;63
587;585;148;147;126;Canon G7X Mark ii;legocolor105.png;Tan;57.0;0.14864865;0.58039216;144.905;-9.30126;2.714315;61;63;63
698;584;150;147;128;Canon G7X Mark ii;legocolor105.png;Tan;52.0;0.14666667;0.58823529;145.731;-8.723652;3.743913;61;63;63
771;602;185;52;45;Canon G7X Mark ii;legocolor105.png;Red;3.0;0.75675676;0.7254902;90.969;-22.616748;82.465187;61;63;63
825;610;160;39;31;Canon G7X Mark ii;legocolor105.png;Red;4.0;0.80625;0.62745098;74.267;-21.287364;75.187841;61;63;63
918;615;45;48;53;Canon G7X Mark ii;legocolor105.png;Dark Bluish Grey;218.0;0.1509434;0.20784314;47.673;2.620884;-2.344221;61;63;63
1043;613;48;55;61;Canon G7X Mark ii;legocolor105.png;Dark Bluish Grey;208.0;0.21311475;0.23921569;53.591;3.645228;-4.903307;61;63;63
1136;460;15;15;15;Canon G7X Mark ii;legocolor105.png;Black;0.0;0.0;0.05882353;15.0;0.0;0.0;61;63;63
1241;459;15;15;15;Canon G7X Mark ii;legocolor105.png;Black;0.0;0.0;0.05882353;15.0;0.0;0.0;61;63;63
1168;368;69;95;112;Canon G7X Mark ii;legocolor105.png;Light Bluish Grey;204.0;0.38392857;0.43921569;89.164;11.235312;-17.683828;61;63;63
1329;365;79;102;118;Canon G7X Mark ii;legocolor105.png;Light Bluish Grey;205.0;0.33050847;0.4627451;96.947;10.358076;-15.739519;61;63;63
171;502;161;53;6;Canon G7X Mark ii;legocolor106.png;Orange;18.0;0.96273292;0.63137255;79.934;-36.375528;71.094882;132;137;142
410;544;177;78;23;Canon G7X Mark ii;legocolor106.png;Orange;21.0;0.8700565;0.69411765;101.331;-38.538852;66.361713;132;137;142
491;513;36;101;121;Canon G7X Mark ii;legocolor106.png;Medium Azure;194.0;0.70247934;0.4745098;83.845;18.28026;-41.960065;132;137;142
751;521;38;100;123;Canon G7X Mark ii;legocolor106.png;Medium Azure;196.0;0.69105691;0.48235294;84.084;19.146672;-40.415668;132;137;142
826;480;21;73;120;Canon G7X Mark ii;legocolor106.png;Dark Azure;208.0;0.825;0.47058824;62.81;28.13748;-36.66737;132;137;142
885;478;20;74;120;Canon G7X Mark ii;legocolor106.png;Dark Azure;208.0;0.83333333;0.47058824;63.098;27.995784;-37.796946;132;137;142
947;492;115;139;139;Canon G7X Mark ii;legocolor106.png;Aqua;180.0;0.17266187;0.54509804;131.824;3.530592;-14.754648;132;137;142
999;493;121;143;141;Canon G7X Mark ii;legocolor106.png;Aqua;175.0;0.15384615;0.56078431;136.194;2.364552;-13.325138;132;137;142
1052;559;159;118;28;Canon G7X Mark ii;legocolor106.png;Yellow;41.0;0.82389937;0.62352941;119.999;-45.263508;34.203877;132;137;142
1106;556;161;117;28;Canon G7X Mark ii;legocolor106.png;Yellow;40.0;0.82608696;0.63137255;120.01;-45.26892;35.94823;132;137;142
1174;593;156;131;64;Canon G7X Mark ii;legocolor106.png;Bright Light Yellow;44.0;0.58974359;0.61176471;130.837;-32.883804;22.067951;132;137;142
1222;594;152;127;60;Canon G7X Mark ii;legocolor106.png;Bright Light Yellow;44.0;0.60526316;0.59607843;126.837;-32.883804;22.067951;132;137;142
1306;478;150;92;114;Canon G7X Mark ii;legocolor106.png;Bright Pink;337.0;0.38666667;0.58823529;111.85;1.0578;33.45755;132;137;142
1359;477;153;99;131;Canon G7X Mark ii;legocolor106.png;Bright Pink;324.0;0.35294118;0.6;118.794;6.005352;29.998662;132;137;142
121;666;150;139;133;Canon G7X Mark ii;legocolor106.png;White;21.0;0.11333333;0.58823529;141.605;-4.23366;7.362415;132;137;142
330;660;152;141;135;Canon G7X Mark ii;legocolor106.png;White;21.0;0.11184211;0.59607843;143.605;-4.23366;7.362415;132;137;142
444;817;124;138;77;Canon G7X Mark ii;legocolor106.png;Yellowish Green;74.0;0.44202899;0.54117647;126.86;-24.53112;-2.50822;132;137;142
492;821;124;138;77;Canon G7X Mark ii;legocolor106.png;Yellowish Green;74.0;0.44202899;0.54117647;126.86;-24.53112;-2.50822;132;137;142
575;874;125;104;73;Canon G7X Mark ii;legocolor106.png;Tan;36.0;0.416;0.49019608;106.745;-16.60254;16.009635;132;137;142
690;876;126;102;74;Canon G7X Mark ii;legocolor106.png;Tan;32.0;0.41269841;0.49411765;105.984;-15.736128;17.554032;132;137;142
789;915;109;18;15;Canon G7X Mark ii;legocolor106.png;Red;2.0;0.86238532;0.42745098;44.867;-14.694564;56.244641;132;137;142
857;917;124;22;20;Canon G7X Mark ii;legocolor106.png;Red;1.0;0.83870968;0.48627451;52.27;-15.87684;62.90721;132;137;142
978;923;38;37;42;Canon G7X Mark ii;legocolor106.png;Dark Bluish Grey;252.0;0.11904762;0.16470588;37.869;2.032452;0.114887;132;137;142
1116;921;41;40;45;Canon G7X Mark ii;legocolor106.png;Dark Bluish Grey;252.0;0.11111111;0.17647059;40.869;2.032452;0.114887;132;137;142
1238;733;14;14;14;Canon G7X Mark ii;legocolor106.png;Black;0.0;0.0;0.05490196;14.0;0.0;0.0;132;137;142
1366;730;14;14;16;Canon G7X Mark ii;legocolor106.png;Black;240.0;0.125;0.0627451;14.228;0.871824;-0.199956;132;137;142
1276;599;60;61;66;Canon G7X Mark ii;legocolor106.png;Light Bluish Grey;230.0;0.09090909;0.25882353;61.271;2.326668;-1.114667;132;137;142
1462;594;84;89;95;Canon G7X Mark ii;legocolor106.png;Light Bluish Grey;213.0;0.11578947;0.37254902;88.189;3.351012;-3.673753;132;137;142
687;297;222;72;22;Canon G7X Mark ii;legocolor107.png;Orange;15.0;0.9009009;0.87058824;111.15;-43.8618;97.21545;61;65;68
768;391;238;106;21;Canon G7X Mark ii;legocolor107.png;Orange;24.0;0.91176471;0.93333333;135.778;-56.470776;89.648694;61;65;68
811;391;62;164;179;Canon G7X Mark ii;legocolor107.png;Medium Azure;188.0;0.65363128;0.70196078;135.212;21.543696;-64.206924;61;65;68
975;485;60;163;180;Canon G7X Mark ii;legocolor107.png;Medium Azure;188.0;0.66666667;0.70588235;134.141;22.562628;-65.021657;61;65;68
910;439;33;131;170;Canon G7X Mark ii;legocolor107.png;Dark Azure;197.0;0.80588235;0.66666667;106.144;31.417152;-64.147288;61;65;68
930;452;32;130;167;Canon G7X Mark ii;legocolor107.png;Dark Azure;196.0;0.80838323;0.65490196;104.916;30.545328;-63.947332;61;65;68
1005;495;138;183;188;Canon G7X Mark ii;legocolor107.png;Aqua;186.0;0.26595745;0.7372549;170.115;8.79942;-28.164855;61;65;68
1029;505;152;188;188;Canon G7X Mark ii;legocolor107.png;Aqua;180.0;0.19148936;0.7372549;177.236;5.295888;-22.131972;61;65;68
1118;559;196;156;45;Canon G7X Mark ii;legocolor107.png;Yellow;44.0;0.77040816;0.76862745;155.306;-54.270552;35.688638;61;65;68
1138;568;197;156;51;Canon G7X Mark ii;legocolor107.png;Yellow;43.0;0.74111675;0.77254902;156.289;-51.802188;35.703547;61;65;68
1134;616;192;176;114;Canon G7X Mark ii;legocolor107.png;Bright Light Yellow;48.0;0.40625;0.75294118;173.716;-29.380272;16.035068;61;65;68
1152;630;192;174;112;Canon G7X Mark ii;legocolor107.png;Bright Light Yellow;47.0;0.41666667;0.75294118;172.314;-29.674488;17.264622;61;65;68
1287;600;194;135;163;Canon G7X Mark ii;legocolor107.png;Bright Pink;332.0;0.30412371;0.76078431;155.833;3.526164;33.472459;61;65;68
1313;611;188;132;159;Canon G7X Mark ii;legocolor107.png;Bright Pink;331.0;0.29787234;0.7372549;151.822;3.531576;31.728106;61;65;68
513;326;169;164;161;Canon G7X Mark ii;legocolor107.png;White;23.0;0.04733728;0.6627451;165.153;-2.043276;3.373819;61;65;68
603;388;177;174;169;Canon G7X Mark ii;legocolor107.png;White;38.0;0.04519774;0.69411765;174.327;-2.620884;2.344221;61;65;68
591;499;162;185;129;Canon G7X Mark ii;legocolor107.png;Yellowish Green;85.0;0.3027027;0.7254902;171.739;-21.027588;-8.541103;61;65;68
652;514;155;183;122;Canon G7X Mark ii;legocolor107.png;Yellowish Green;88.0;0.33333333;0.71764706;167.674;-22.471608;-11.115098;61;65;68
546;541;167;150;122;Canon G7X Mark ii;legocolor107.png;Tan;37.0;0.26946108;0.65490196;151.891;-14.706372;13.250593;61;65;68
629;556;186;165;134;Canon G7X Mark ii;legocolor107.png;Tan;36.0;0.27956989;0.72941176;167.745;-16.60254;16.009635;61;65;68
560;600;176;58;58;Canon G7X Mark ii;legocolor107.png;Red;0.0;0.67045455;0.69019608;93.282;-17.358744;72.543686;61;65;68
